Name,Team,Games,W,WPG,L,OTL,GAA,GA,GAPG,SA,SAPG,SV,SVPG,SV%,SVPPG,SO,SOPG,MIN
Laurent Brossoit,WPG,21,13,0.619047619,6,2,2.5,49,2.333333333,652 ,31 ,603 ,29 ,0.925,0.044047619,1,0.047619048,"1,165"
James Reimer,CAR,36,13,0.361111111,12,5,3.1,93,2.583333333,929 ,26 ,836 ,23 ,0.9,0.025,0,0,"1,805"
Brian Elliott,PHI,26,11,0.423076923,11,1,3,69,2.653846154,741 ,29 ,672 ,26 ,0.907,0.034884615,1,0.038461538,"1,397"
Cam Talbot,CGY,35,11,0.314285714,17,3,3.4,108,3.085714286,997 ,28 ,889 ,25 ,0.892,0.025485714,1,0.028571429,"1,905"
Joonas Korpisalo,CLS,27,10,0.37037037,7,3,3,67,2.481481481,651 ,24 ,584 ,22 ,0.897,0.033222222,0,0,"1,361"
Jack Campbell,LA,31,10,0.322580645,14,1,2.3,61,1.967741935,845 ,27 ,784 ,25 ,0.928,0.029935484,2,0.064516129,"1,593"
MacKenzie Blackwood,NJ,23,10,0.434782609,10,0,2.6,55,2.391304348,669 ,29 ,614 ,27 ,0.918,0.039913043,2,0.086956522,"1,264"
Aaron Dell,SJ,25,10,0.4,8,4,3.2,70,2.8,613 ,25 ,543 ,22 ,0.886,0.03544,2,0.08,"1,323"
Jonathan Bernier,DET,35,9,0.257142857,18,5,3.2,98,2.8,"1,025",29 ,927 ,26 ,0.904,0.025828571,1,0.028571429,"1,860"
Ryan Miller,ANH,20,8,0.4,7,2,2.8,51,2.55,578 ,29 ,527 ,26 ,0.912,0.0456,1,0.05,"1,109"
Antti Niemi,FA,17,8,0.470588235,6,2,3.8,61,3.588235294,539 ,32 ,478 ,28 ,0.887,0.052176471,0,0,969
Garret Sparks,VGK,20,8,0.4,9,1,3.2,58,2.9,592 ,30 ,534 ,27 ,0.902,0.0451,1,0.05,"1,105"
Malcolm Subban,VGK,21,8,0.380952381,10,2,3,60,2.857142857,612 ,29 ,552 ,26 ,0.902,0.042952381,1,0.047619048,"1,227"
Adin Hill,ARI,13,7,0.538461538,5,0,2.8,32,2.461538462,322 ,25 ,290 ,22 ,0.901,0.069307692,1,0.076923077,696
Cory Schneider,NJ,26,6,0.230769231,13,4,3.1,70,2.692307692,718 ,28 ,648 ,25 ,0.903,0.034730769,1,0.038461538,"1,372"
Collin Delia,CHI,16,6,0.375,4,3,3.6,50,3.125,545 ,34 ,495 ,31 ,0.908,0.05675,0,0,831
Alex Stalock,MIN,21,6,0.285714286,8,3,3,53,2.523809524,525 ,25 ,472 ,22 ,0.899,0.042809524,0,0,"1,065"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
